Area name;Specimen date;Daily lab-confirmed cases;Cumulative lab-confirmed cases;Cumulative lab-confirmed cases rate;geo_shape;geo_point_2d
England;2021-11-02;30353;7822726;13833.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-08-03;26335;5223046;9236.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-11-05;23766;7900963;13971.6;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-11-08;35218;7983242;14117.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-11-19;32410;8356627;14777.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-11-21;30982;8416821;14883.8;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-10-09;26546;6961585;12310.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-08-17;30208;5578384;9864.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-10-30;27597;7726403;13662.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-08-21;22039;5684267;10051.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-08-11;28376;5424902;9593.1;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-08-09;27540;5369585;9495.3;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-08-08;19615;5341939;9446.4;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-08-12;26926;5451847;9640.7;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-09-22;28148;6483996;11465.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-09-29;28035;6676590;11806.5;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
England;2021-09-28;28928;6648555;11756.9;"{""coordinates"": [-1.647762, 52.438655], ""type"": ""Point""}";52.438655, -1.647762
